1361559597.545506 967 232 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.557766 973 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.559177 975 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.559798 976 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.562280 977 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.563877 978 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.569638 982 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.576105 985 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.576887 987 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.577102 988 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.577295 989 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.577529 990 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.577705 991 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.578038 993 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.578246 994 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.578434 995 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.578778 997 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.578962 998 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.580173 1002 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.580588 1003 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.580920 1005 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.581123 1006 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.581349 1007 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.581476 1008 222 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.581598 1009 232 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.584977 1015 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.585095 1016 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.586083 1018 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.587402 1020 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.588070 1021 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.588974 1022 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.589461 1023 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.591692 1028 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.591893 1029 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.592084 1030 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.592385 1032 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.593456 1035 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.594616 1037 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.595772 1039 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.596963 1041 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.597496 1042 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.598115 1043 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.598825 1044 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.628644 1052 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.630207 1056 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.630392 1057 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.630595 1058 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.630789 1059 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.630968 1060 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.631327 1062 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.631497 1063 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.631881 1065 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.632214 1067 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.632421 1068 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.632567 1069 222 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.632702 1070 232 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.633026 1072 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.640369 1075 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.640777 1076 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.641585 1077 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.642725 1078 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.644846 1080 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.645112 1082 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.645455 1083 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.645643 1084 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.645900 1086 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.646085 1087 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.646347 1088 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.646529 1089 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.646799 1090 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.646976 1091 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.650678 1095 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.653700 1097 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.655327 1103 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.655472 1104 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.655676 1105 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.655887 1106 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.656075 1107 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.656587 1109 306 96:f2:d6:8c:45:00 d7:f8:c2:ef:dd:84
1361559597.656889 1111 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.657221 1113 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.657427 1114 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.657575 1115 222 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.657704 1116 232 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.668035 1118 192 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.669085 1120 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.669480 1121 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
